LSOA,IMD SCORE,RANK OF IMD SCORE (where 1 is most deprived),Percentile,Decile,IMD_Decile2010
E01012881,64.19,517,1.59165076,0.159165076,1
E01008710,64.18,518,1.594729389,0.159472939,1
E01007416,64.16,519,1.597808017,0.159780802,1
E01007292,64.14,520,1.600886645,0.160088664,1
E01004310,64.09,521,1.603965273,0.160396527,1
E01010416,64.07,522,1.607043901,0.16070439,1
E01005135,64.03,523,1.610122529,0.161012253,1
E01006775,64.03,524,1.613201158,0.161320116,1
E01006758,64.02,525,1.616279786,0.161627979,1
E01008062,63.99,526,1.619358414,0.161935841,1
E01010473,63.99,527,1.622437042,0.162243704,1
E01009204,63.96,528,1.62551567,0.162551567,1
E01007876,63.94,529,1.628594298,0.16285943,1
E01006572,63.93,530,1.631672927,0.163167293,1
E01006360,63.92,531,1.634751555,0.163475155,1
E01012085,63.89,532,1.637830183,0.163783018,1
E01012455,63.89,533,1.640908811,0.164090881,1
E01025230,63.89,534,1.643987439,0.164398744,1
E01006240,63.87,535,1.647066067,0.164706607,1
E01009371,63.86,536,1.650144696,0.16501447,1
E01006771,63.86,537,1.653223324,0.165322332,1
E01009152,63.86,538,1.656301952,0.165630195,1
E01006602,63.83,539,1.65938058,0.165938058,1
E01008388,63.81,540,1.662459208,0.166245921,1
E01025504,63.8,541,1.665537836,0.166553784,1
E01015895,63.78,542,1.668616465,0.166861646,1
E01004861,63.78,543,1.671695093,0.167169509,1
E01006664,63.78,544,1.674773721,0.167477372,1
E01006411,63.78,545,1.677852349,0.167785235,1
E01010964,63.77,546,1.680930977,0.168093098,1
E01012308,63.76,547,1.684009605,0.168400961,1
